time,M1同比增速,date,M1
,,2020年11月份,0.68756731
,,2020年12月份,3.33472192
,,2021年01月份,6.29868897
,,2021年02月份,2.5655273
,,2021年03月份,-5.85366703
,,2021年04月份,-0.85537193
,,2021年05月份,-1.89462255
,,2021年06月份,0.2010627
,,2021年07月份,0.43936374
,,2021年08月份,0.4032694
,,2021年09月份,2.1254491
,,2021年10月份,-0.89943153
,,2021年11月份,1.56545018
,,2021年12月份,3.87922649
,,2022年01月份,16.91571112
,,2022年02月份,-8.4388976
,,2022年03月份,-2.14525284
,,2022年04月份,0.50931282
,,2022年05月份,-0.08327191
,,2022年06月份,0.48595004
,,2022年07月份,0.51871048
,,2022年08月份,0.7479495
,,2022年09月份,1.48206802
,,2022年10月份,-0.25878653
,,2022年11月份,1.34470051
,,2022年12月份,4.97884903
,,2023年01月份,9.45052544
,,2023年02月份,-6.10701624
,,2023年03月份,-1.86917451
,,2023年04月份,0.29657746
,,2023年05月份,-1.08375983
,,2023年06月份,0.63240818
,,2023年07月份,0.67395693
,,2023年08月份,0.36340447
,,2023年09月份,2.57038985
,,2023年10月份,-0.62961073
,,2023年11月份,1.52887639
,,2023年12月份,2.92080267
,,2024年01月份,7.01126118
,,2024年02月份,-0.32011093
,,2024年03月份,-3.13976712
,,2024年04月份,0.08535925
,,2024年05月份,-0.21125977
,,2024年06月份,0.57580244
,,2024年07月份,0.93742167
,,2024年08月份,0.53189797
,,2024年09月份,1.9731977
,,2024年10月份,0.50647624
,,2024年11月份,1.41548542
,,2024年12月份,3.23231728
,,2025年01月份,10.96798793
,,2025年02月份,-6.67667549
,,2025年03月份,-1.55528979
,,2025年04月份,0.5319
,,2025年05月份,-0.09779506
,,2025年06月份,0.43323664
,,2025年07月份,0.77193489
,,2025年08月份,0.41965512
,,2025年09月份,1.80736777
,,2025年10月份,-0.24682402
,,2025年11月份,1.39597429
,,2025年12月份,2.83322965
,,2026年01月份,3.45262827
,,2026年02月份,3.62519553
,,2026年03月份,-2.87487005
,,2026年04月份,0.26826384
,,2026年05月份,-0.4222139
2026-04,0.05,,
