time,社会融资规模存量（万亿元）,环比增速,同比增速,date,社融存量
,,,,201903,122.0
,,,,201903.0,122.0
,,,,201904,262.0
,,,,201904.0,262.0
,,,,201905,259.0
,,,,201905.0,259.0
,,,,201906,153.0
,,,,201906.0,153.0
,,,,201907,593.0
,,,,201907.0,593.0
,,,,201908,256.0
,,,,201908.0,256.0
,,,,201909,289.0
,,,,201909.0,289.0
,,,,201910,180.0
,,,,201910.0,180.0
,,,,201911,524.0
,,,,201911.0,524.0
,,,,201912,432.0
,,,,201912.0,432.0
,,,,202001,609.0
,,,,202001.0,609.0
,,,,202002,449.0
,,,,202002.0,449.0
,,,,202003,198.0
,,,,202003.0,198.0
,,,,202004,315.0
,,,,202004.0,315.0
,,,,202005,353.0
,,,,202005.0,353.0
,,,,202006,538.0
,,,,202006.0,538.0
,,,,202007,1215.0
,,,,202007.0,1215.0
,,,,202008,1282.0
,,,,202008.0,1282.0
,,,,202009,1141.0
,,,,202009.0,1141.0
,,,,202010,927.0
,,,,202010.0,927.0
,,,,202011,771.0
,,,,202011.0,771.0
,,,,202012,1126.0
,,,,202012.0,1126.0
,,,,202101,991.18
,,,,202101.0,991.18
,,,,202102,693.0
,,,,202102.0,693.0
,,,,202103,783.0
,,,,202103.0,783.0
,,,,202104,814.0
,,,,202104.0,814.0
,,,,202105,717.0
,,,,202105.0,717.0
,,,,202106,956.0
,,,,202106.0,956.0
,,,,202107,938.0
,,,,202107.0,938.0
,,,,202108,1478.0
,,,,202108.0,1478.0
,,,,202109,772.0
,,,,202109.0,772.0
,,,,202110,846.0
,,,,202110.0,846.0
,,,,202111,1294.0
,,,,202111.0,1294.0
,,,,202112,2075.0
,,,,202112.0,2075.0
,,,,202201,1439.0
,,,,202201.0,1439.0
,,,,202202,585.0
,,,,202202.0,585.0
,,,,202203,958.0
,,,,202203.0,958.0
,,,,202204,1166.0
,,,,202204.0,1166.0
,,,,202205,292.0
,,,,202205.0,292.0
,,,,202206,589.0
,,,,202206.0,589.0
,,,,202207,1437.0
,,,,202207.0,1437.0
,,,,202208,1251.0
,,,,202208.0,1251.0
,,,,202209,1022.0
,,,,202209.0,1022.0
,,,,202210,788.0
,,,,202210.0,788.0
,,,,202211,788.0
,,,,202211.0,788.0
,,,,202212,1443.0
,,,,202212.0,1443.0
,,,,202301,964.0
,,,,202301.0,964.0
,,,,202302,571.0
,,,,202302.0,571.0
,,,,202303,614.0
,,,,202303.0,614.0
