time,DR007
2026-06-15,1.4671
2026-06-16,1.4856
2026-06-17,1.4645
2026-06-18,1.4606
2026-06-22,1.4713
2026-06-23,1.4944
2026-06-24,1.5434
2026-06-25,1.5098
2026-06-26,1.4672
2026-06-29,1.4531
2026-06-30,1.4587
2026-07-01,1.4537
2026-07-02,1.4278
2026-07-03,1.3924
2026-07-06,1.3879
