open_time,open,high,low,close,volume,close_time,quote_asset_volume
2024-12-17,0.033401,0.039466,0.026775,0.028659,17905123859.0,2024-12-17 23:59:59.999,560082043.492415
2024-12-18,0.028656,0.039568,0.026216,0.0356,46561150833.0,2024-12-18 23:59:59.999,1569582940.876078
2024-12-19,0.0356,0.036972,0.026844,0.028633,24628795112.0,2024-12-19 23:59:59.999,771041782.463002
2024-12-20,0.028634,0.029948,0.022888,0.027823,17231525454.0,2024-12-20 23:59:59.999,456567652.604916
2024-12-21,0.027821,0.032338,0.027335,0.028634,11810411579.0,2024-12-21 23:59:59.999,356341711.913086
2024-12-22,0.028635,0.028635,0.025401,0.02598,8535140565.0,2024-12-22 23:59:59.999,226913490.482302
2024-12-23,0.025986,0.030977,0.025193,0.030238,9309810372.0,2024-12-23 23:59:59.999,256289599.201192
2024-12-24,0.030241,0.037653,0.028036,0.035904,25749247178.0,2024-12-24 23:59:59.999,883235074.829954
2024-12-25,0.035908,0.0395,0.0343,0.037723,16592175017.0,2024-12-25 23:59:59.999,609505608.256183
2024-12-26,0.037723,0.043557,0.036151,0.038141,23762000934.0,2024-12-26 23:59:59.999,935126602.852681
2024-12-27,0.038141,0.038236,0.033267,0.033894,11464144948.0,2024-12-27 23:59:59.999,406015979.411759
2024-12-28,0.033894,0.037,0.033154,0.036053,8238904355.0,2024-12-28 23:59:59.999,288751471.422059
2024-12-29,0.036053,0.036537,0.031518,0.031919,5677832719.0,2024-12-29 23:59:59.999,194354158.199672
2024-12-30,0.03192,0.033094,0.030118,0.030999,6951109206.0,2024-12-30 23:59:59.999,220432963.505631
2024-12-31,0.030999,0.034392,0.029608,0.033336,8053497134.0,2024-12-31 23:59:59.999,259002864.790069
2025-01-01,0.033336,0.04022,0.032908,0.039284,12890192014.0,2025-01-01 23:59:59.999,463346707.424209
2025-01-02,0.039284,0.0409,0.036869,0.037254,9354852861.0,2025-01-02 23:59:59.999,360890798.941891
2025-01-03,0.037254,0.037716,0.034109,0.037236,7502515546.0,2025-01-03 23:59:59.999,270759268.0906
2025-01-04,0.037235,0.042287,0.035665,0.040521,12165212001.0,2025-01-04 23:59:59.999,476099693.92232
2025-01-05,0.040523,0.044499,0.039806,0.040078,14757936974.0,2025-01-05 23:59:59.999,617522933.601798
2025-01-06,0.040076,0.047,0.039425,0.043055,15629961971.0,2025-01-06 23:59:59.999,686562199.999322
2025-01-07,0.043056,0.043806,0.037162,0.037296,10065110977.0,2025-01-07 23:59:59.999,407567361.526493
2025-01-08,0.037297,0.038019,0.032682,0.035897,10768380313.0,2025-01-08 23:59:59.999,383087445.043698
2025-01-09,0.035898,0.037329,0.03139,0.033303,10886385010.0,2025-01-09 23:59:59.999,370551867.714272
2025-01-10,0.033303,0.035819,0.032269,0.033474,8609346610.0,2025-01-10 23:59:59.999,292757295.899182
2025-01-11,0.033475,0.03382,0.031605,0.032968,4775472631.0,2025-01-11 23:59:59.999,156598882.791997
