date,open,high,low,close,volume,amount,股票代码
2025-07-17,100.05,100.222,100.05,100.125,29310210,2934821779,511120
2025-07-18,100.128,100.2,100.128,100.191,34067879,3413316395,511120
2025-07-21,100.191,100.222,100.101,100.149,20590948,2061785582,511120
2025-07-22,100.148,100.148,100.02,100.05,19307280,1933040319,511120
2025-07-23,100.01,100.042,99.955,99.989,22042450,2203845587,511120
2025-07-24,99.95,99.95,99.669,99.786,18399910,1837455063,511120
2025-07-25,99.786,99.825,99.672,99.705,6020140,600489787,511120
2025-07-28,99.8,99.857,99.722,99.733,22371470,2231170491,511120
2025-07-29,99.774,99.774,99.584,99.61,80693740,8041950209,511120
2025-07-30,99.65,99.708,99.53,99.572,10305570,1026154547,511120
2025-07-31,99.587,99.876,99.587,99.875,32240940,3216679894,511120
2025-08-01,99.871,99.956,99.771,99.929,19198190,1917649215,511120
2025-08-04,99.96,100.05,99.945,99.959,14251950,1424845241,511120
2025-08-05,99.957,100.003,99.895,100.0,36867690,3685956836,511120
2025-08-06,99.961,100.039,99.961,100.027,34923980,3492506372,511120
2025-08-07,100.027,100.137,100.027,100.1,53160570,5320521682,511120
2025-08-08,100.1,100.12,100.064,100.098,49855320,4990477582,511120
2025-08-11,100.098,100.098,99.98,99.989,16804990,1680267067,511120
2025-08-12,99.905,99.981,99.834,99.88,13597600,1357960503,511120
2025-08-13,99.85,99.989,99.773,99.905,60997840,6094819859,511120
2025-08-14,99.851,99.891,99.809,99.89,61025580,6091245945,511120
2025-08-15,99.9,99.9,99.854,99.881,55048420,5498280600,511120
2025-08-18,99.75,99.75,99.51,99.525,25191310,2507916270,511120
2025-08-19,99.602,99.61,99.516,99.524,56030350,5580070029,511120
2025-08-20,99.543,99.643,99.397,99.44,28777300,2865842670,511120
2025-08-21,99.4,99.539,99.371,99.537,11386550,1132016782,511120
2025-08-22,99.456,99.556,99.456,99.508,26094920,2596993745,511120
2025-08-25,99.401,99.614,99.401,99.599,68626660,6830958963,511120
2025-08-26,99.643,99.643,99.58,99.601,37571060,3742161624,511120
2025-08-27,99.609,99.654,99.572,99.653,51732470,5152966619,511120
2025-08-28,99.653,99.653,99.578,99.578,33608270,3347722975,511120
2025-08-29,99.639,99.645,99.59,99.611,65341120,6508490529,511120
2025-09-01,99.522,99.639,99.521,99.622,43654810,4347697874,511120
2025-09-02,99.666,99.666,99.609,99.615,21900920,2181959204,511120
2025-09-03,99.65,99.697,99.63,99.69,41479860,4134001858,511120
