STAT_DATE,ETF_TYPE,SEC_CODE,NUM,SEC_NAME,TOT_VOL
2025-01-20,单市,510010,1,治理ETF,19552.44
2025-01-20,单市,510020,2,超大ETF,4314.8
2025-01-20,单市,510030,3,价值ETF,21072.98
2025-01-20,单市,510040,4,上证180E,54048
2025-01-20,单市,510050,5,50ETF,5522466.68
2025-01-20,单市,510060,6,央企ETF,6095.92
2025-01-20,单市,510090,7,ESG建信,3458.11
2025-01-20,单市,510100,8,SZ50ETF,289561.99
2025-01-20,单市,510130,9,中盘ETF,4508.51
2025-01-20,单市,510150,10,消费ETF,358717.86
2025-01-20,单市,510160,11,产业升级,29805.74
2025-01-20,单市,510170,12,商品ETF,19491.48
2025-01-20,单市,510180,13,180ETF,588005.77
2025-01-20,单市,510190,14,上证50基,5915.08
2025-01-20,单市,510200,15,上证券商,14138.55
2025-01-20,单市,510210,16,综指ETF,841419.26
2025-01-20,单市,510230,17,金融ETF,365580.8
2025-01-20,单市,510270,18,国企ETF,2683.21
2025-01-20,单市,510290,19,380ETF,9244.89
2025-01-20,跨市,510300,20,300ETF,9085458.77
2025-01-20,跨市,510310,21,HS300ETF,6453784.4
2025-01-20,跨市,510330,22,华夏300,4105014.98
2025-01-20,跨市,510350,23,工银300,134471.47
2025-01-20,跨市,510360,24,广发300,751438.12
2025-01-20,跨市,510370,25,兴业300,13825.81
2025-01-20,跨市,510380,26,国寿300,159680.24
2025-01-20,跨市,510390,27,平安300,14195
2025-01-20,单市,510410,28,资源ETF,33925.84
2025-01-20,跨市,510500,29,500ETF,1776736.86
2025-01-20,跨市,510510,30,广发500,125703.83
2025-01-20,跨市,510530,31,工银500,6097.94
2025-01-20,跨市,510550,32,方正500,2374.33
2025-01-20,跨市,510560,33,国寿500,12831.87
2025-01-20,跨市,510570,34,兴业500,3306.06
2025-01-20,跨市,510580,35,ZZ500ETF,112536.83
2025-01-20,跨市,510590,36,平安500,11918.61
2025-01-20,单市,510600,37,沪50ETF,1601.51
2025-01-20,单市,510630,38,消费30,51236.15
2025-01-20,单市,510650,39,金融行业,1645.25
2025-01-20,单市,510660,40,医药行业,4487.97
2025-01-20,单市,510680,41,万家50,6162.47
2025-01-20,单市,510710,42,上50ETF,19101.89
2025-01-20,单市,510720,43,红利国泰,119776.6
2025-01-20,单市,510760,44,上证ETF,295450.37
2025-01-20,单市,510770,45,G60创新,3961.07
2025-01-20,单市,510800,46,上证50,49557.6
2025-01-20,单市,510810,47,上海国企,871009.37
2025-01-20,单市,510850,48,工银上50,7669.89
2025-01-20,单市,510880,49,红利ETF,723617.57
2025-01-20,跨境,510900,50,H股ETF,1128302.19
2025-01-20,单市,510950,51,上证广发,10395
2025-01-20,单市,510980,52,上证综合,40779.8
2025-01-20,单市,510990,53,ESG180,6094.86
2025-01-20,单市,511010,54,国债ETF,1714.63
2025-01-20,单市,511020,55,活跃国债,1053.25
2025-01-20,单市,511030,56,公司债,104520.71
2025-01-20,单市,511060,57,5年地债,789.63
2025-01-20,单市,511090,58,30年国债,6527.81
2025-01-20,单市,511100,59,基准国债,347.05
2025-01-20,单市,511130,60,国债30年,2725.97
2025-01-20,单市,511160,61,国债东财,4082.09
2025-01-20,单市,511180,62,上证转债,52435.97
2025-01-20,单市,511220,63,城投ETF,139298.14
2025-01-20,单市,511260,64,十年国债,1952.65
2025-01-20,单市,511270,65,10年地债,1273.75
2025-01-20,单市,511360,66,短融ETF,24505.06
2025-01-20,单市,511380,67,转债ETF,339928.67
2025-01-20,单市,511520,68,政金债,33820.65
2025-01-20,单市,511580,69,国债政金,566.48
2025-01-20,跨市,512000,70,券商ETF,2078071.77
2025-01-20,跨市,512010,71,医药ETF,6449269.49
2025-01-20,跨市,512020,72,A500,480201.27
2025-01-20,跨市,512040,73,国信价值,240371.59
2025-01-20,跨市,512050,74,A500E,2111899.22
2025-01-20,跨市,512070,75,证券保险,1043447.97
2025-01-20,跨市,512090,76,MSCI易基,28359.23
2025-01-20,跨市,512100,77,1000ETF,2243721.76
