STAT_DATE,ETF_TYPE,SEC_CODE,NUM,SEC_NAME,TOT_VOL
2025-03-31,单市,510010,1,治理ETF,14952.44
2025-03-31,单市,510020,2,超大ETF,4234.8
2025-03-31,单市,510030,3,价值ETF,18772.98
2025-03-31,单市,510040,4,上证180E,13048
2025-03-31,单市,510050,5,50ETF,5349036.68
2025-03-31,单市,510060,6,央企ETF,5595.92
2025-03-31,单市,510090,7,ESG建信,3158.11
2025-03-31,单市,510100,8,SZ50ETF,143960.68
2025-03-31,单市,510130,9,中盘ETF,3868.51
2025-03-31,单市,510150,10,消费ETF,346517.86
2025-03-31,单市,510160,11,产业升级,28805.74
2025-03-31,单市,510170,12,商品ETF,18491.48
2025-03-31,单市,510180,13,180ETF,584405.77
2025-03-31,单市,510190,14,上证50基,4965.08
2025-03-31,单市,510200,15,上证券商,13888.55
2025-03-31,单市,510210,16,综指ETF,590019.26
2025-03-31,单市,510230,17,金融ETF,353680.8
2025-03-31,单市,510270,18,国企ETF,2083.21
2025-03-31,单市,510290,19,380ETF,8444.89
2025-03-31,跨市,510300,20,300ETF,8506038.77
2025-03-31,跨市,510310,21,HS300ETF,6107644.4
2025-03-31,跨市,510330,22,华夏300,3964074.98
2025-03-31,跨市,510350,23,工银300,103871.47
2025-03-31,跨市,510360,24,广发300,588538.12
2025-03-31,跨市,510370,25,兴业300,12925.81
2025-03-31,跨市,510380,26,国寿300,146180.24
2025-03-31,跨市,510390,27,平安300,13655
2025-03-31,单市,510410,28,资源ETF,33625.84
2025-03-31,跨市,510500,29,500ETF,1620616.86
2025-03-31,跨市,510510,30,广发500,107103.83
2025-03-31,跨市,510530,31,工银500,5747.94
2025-03-31,跨市,510550,32,方正500,1974.33
2025-03-31,跨市,510560,33,国寿500,12631.87
2025-03-31,跨市,510570,34,兴业500,2556.06
2025-03-31,跨市,510580,35,ZZ500ETF,106296.83
2025-03-31,跨市,510590,36,平安500,8838.61
2025-03-31,单市,510600,37,沪50ETF,1571.51
2025-03-31,单市,510630,38,消费30,55236.15
2025-03-31,单市,510650,39,金融行业,1845.25
2025-03-31,单市,510660,40,医药行业,4087.97
2025-03-31,单市,510680,41,万家50,4392.47
2025-03-31,单市,510710,42,上50ETF,17061.89
2025-03-31,单市,510720,43,红利国泰,158276.6
2025-03-31,单市,510760,44,上证ETF,208150.37
2025-03-31,单市,510770,45,G60创新,3211.07
2025-03-31,单市,510800,46,上证50,42557.6
2025-03-31,单市,510810,47,上海国企,919719.37
2025-03-31,单市,510850,48,工银上50,7609.89
2025-03-31,单市,510880,49,红利ETF,731217.57
