STAT_DATE,ETF_TYPE,SEC_CODE,NUM,SEC_NAME,TOT_VOL
2025-08-05,单市,510010,1,治理ETF,14252.44
2025-08-05,单市,510020,2,超大ETF,4114.8
2025-08-05,单市,510030,3,价值ETF,16122.98
2025-08-05,单市,510040,4,上证180E,4448
2025-08-05,单市,510050,5,50ETF,5773746.68
2025-08-05,单市,510060,6,央企ETF,4595.92
2025-08-05,单市,510090,7,ESG建信,3108.11
2025-08-05,单市,510100,8,SZ50ETF,138650.68
2025-08-05,单市,510130,9,中盘ETF,3788.51
2025-08-05,单市,510150,10,消费ETF,265117.86
2025-08-05,单市,510160,11,产业升级,26005.74
2025-08-05,单市,510170,12,商品ETF,17291.48
2025-08-05,单市,510180,13,180ETF,555955.77
2025-08-05,单市,510190,14,上证50基,4115.08
2025-08-05,单市,510200,15,上证券商,11338.55
2025-08-05,单市,510210,16,综指ETF,395319.26
2025-08-05,单市,510230,17,金融ETF,351880.8
2025-08-05,单市,510270,18,国企ETF,1483.21
2025-08-05,单市,510290,19,380ETF,7644.89
2025-08-05,跨市,510300,20,300ETF,9152508.77
2025-08-05,跨市,510310,21,HS300ETF,6729454.4
2025-08-05,跨市,510320,22,300中金,53506.85
2025-08-05,跨市,510330,23,华夏300,4748964.98
2025-08-05,跨市,510350,24,工银300,85421.47
2025-08-05,跨市,510360,25,广发300,379438.12
2025-08-05,跨市,510370,26,兴业300,10225.81
2025-08-05,跨市,510380,27,国寿300,133880.24
2025-08-05,跨市,510390,28,平安300,12305
2025-08-05,单市,510410,29,资源ETF,36125.84
2025-08-05,跨市,510500,30,500ETF,1852296.86
2025-08-05,跨市,510510,31,广发500,94503.83
2025-08-05,跨市,510530,32,工银500,5197.94
2025-08-05,跨市,510550,33,方正500,1374.33
2025-08-05,跨市,510560,34,国寿500,12431.87
2025-08-05,跨市,510570,35,兴业500,2306.06
2025-08-05,跨市,510580,36,ZZ500ETF,85656.83
2025-08-05,跨市,510590,37,平安500,8278.61
2025-08-05,单市,510600,38,沪50ETF,1421.51
2025-08-05,单市,510630,39,消费30,49336.15
2025-08-05,单市,510650,40,金融行业,1045.25
2025-08-05,单市,510660,41,医药行业,3237.97
2025-08-05,单市,510680,42,万家50,3102.47
2025-08-05,单市,510710,43,上50ETF,14211.89
