STAT_DATE,ETF_TYPE,SEC_CODE,NUM,SEC_NAME,TOT_VOL
2024-12-02,单市,510010,1,治理ETF,20552.44
2024-12-02,单市,510020,2,超大ETF,4134.8
2024-12-02,单市,510030,3,价值ETF,18372.98
2024-12-02,单市,510050,4,XD50ETF,5700576.68
2024-12-02,单市,510060,5,央企ETF,6295.92
2024-12-02,单市,510090,6,ESG建信,3408.11
2024-12-02,单市,510100,7,SZ50ETF,287521.99
2024-12-02,单市,510130,8,中盘ETF,4908.51
2024-12-02,单市,510150,9,消费ETF,374917.86
2024-12-02,单市,510160,10,产业升级,30405.74
2024-12-02,单市,510170,11,商品ETF,20291.48
2024-12-02,单市,510180,12,180ETF,569455.77
2024-12-02,单市,510190,13,上证50基,6315.08
2024-12-02,单市,510200,14,上证券商,14038.55
2024-12-02,单市,510210,15,综指ETF,872019.26
2024-12-02,单市,510230,16,金融ETF,333680.8
2024-12-02,单市,510270,17,国企ETF,3283.21
2024-12-02,单市,510290,18,380ETF,9444.89
2024-12-02,跨市,510300,19,300ETF,9006618.77
2024-12-02,跨市,510310,20,HS300ETF,6380434.4
2024-12-02,跨市,510330,21,华夏300,3980274.98
2024-12-02,跨市,510350,22,工银300,112421.47
2024-12-02,跨市,510360,23,广发300,747538.12
2024-12-02,跨市,510370,24,兴业300,15625.81
2024-12-02,跨市,510380,25,国寿300,168380.24
2024-12-02,跨市,510390,26,平安300,14105
2024-12-02,单市,510410,27,资源ETF,36325.84
2024-12-02,跨市,510500,28,500ETF,1789056.86
2024-12-02,跨市,510510,29,广发500,128503.83
2024-12-02,跨市,510530,30,工银500,5697.94
2024-12-02,跨市,510550,31,方正500,2574.33
2024-12-02,跨市,510560,32,国寿500,12831.87
2024-12-02,跨市,510570,33,兴业500,3056.06
2024-12-02,跨市,510580,34,ZZ500ETF,116696.83
2024-12-02,跨市,510590,35,平安500,12038.61
2024-12-02,单市,510600,36,沪50ETF,1751.51
2024-12-02,单市,510630,37,消费30,51336.15
2024-12-02,单市,510650,38,金融行业,1745.25
2024-12-02,单市,510660,39,医药行业,4487.97
2024-12-02,单市,510680,40,万家50,6522.47
2024-12-02,单市,510710,41,上50ETF,18411.89
2024-12-02,单市,510720,42,红利国泰,77676.6
2024-12-02,单市,510760,43,上证ETF,278650.37
2024-12-02,单市,510770,44,G60创新,4411.07
2024-12-02,单市,510800,45,上证50,53657.6
2024-12-02,单市,510810,46,上海国企,867309.37
2024-12-02,单市,510850,47,工银上50,7669.89
2024-12-02,单市,510880,48,红利ETF,557567.57
2024-12-02,跨境,510900,49,H股ETF,1199002.19
2024-12-02,单市,510950,50,上证广发,9570
2024-12-02,单市,510980,51,上证综合,42879.8
2024-12-02,单市,510990,52,ESG180,5494.86
2024-12-02,单市,511010,53,国债ETF,1491.63
2024-12-02,单市,511020,54,活跃国债,1330.75
2024-12-02,单市,511030,55,公司债,102130.71
2024-12-02,单市,511060,56,5年地债,769.63
2024-12-02,单市,511090,57,30年国债,5801.81
2024-12-02,单市,511100,58,基准国债,243.05
2024-12-02,单市,511130,59,国债30年,3147.37
2024-12-02,单市,511180,60,上证转债,34175.97
2024-12-02,单市,511220,61,城投ETF,121388.14
2024-12-02,单市,511260,62,十年国债,1825.65
2024-12-02,单市,511270,63,10年地债,1162.75
2024-12-02,单市,511360,64,短融ETF,25430.26
2024-12-02,单市,511380,65,转债ETF,268788.67
2024-12-02,单市,511520,66,政金债,25668.65
2024-12-02,单市,511580,67,国债政金,221.08
2024-12-02,跨市,512000,68,券商ETF,1993471.77
2024-12-02,跨市,512010,69,医药ETF,6272169.49
2024-12-02,跨市,512020,70,NA500,267201.27
2024-12-02,跨市,512040,71,国信价值,203471.59
2024-12-02,跨市,512050,72,A500E,1294699.22
2024-12-02,跨市,512070,73,证券保险,1050747.97
2024-12-02,跨市,512090,74,MSCI易基,27959.23
2024-12-02,跨市,512100,75,1000ETF,2265321.76
2024-12-02,跨市,512120,76,医药50,88524.19
2024-12-02,跨市,512150,77,A50ETF,10307.34
2024-12-02,跨市,512160,78,MSCI基金,26377.78
2024-12-02,跨市,512170,79,医疗ETF,7596182.05
2024-12-02,跨市,512180,80,建信MSCI,7004.8
2024-12-02,跨市,512190,81,之江凤凰,3491.84
2024-12-02,跨市,512200,82,地产ETF,318134.79
2024-12-02,跨市,512220,83,TMTETF,23846.76
2024-12-02,跨市,512260,84,500低波,4689.77
2024-12-02,跨市,512280,85,景顺MSCI,3800.57
2024-12-02,跨市,512290,86,生物医药,446082.07
2024-12-02,跨市,512330,87,信息ETF,56668.8
2024-12-02,跨市,512360,88,MSCI国际,4833.77
2024-12-02,跨市,512380,89,MSCI中国,10880.56
2024-12-02,跨市,512390,90,MSCI低波,18068.2
2024-12-02,跨市,512400,91,有色ETF,437403.9
2024-12-02,跨市,512480,92,半导体,2579100.36
2024-12-02,跨市,512500,93,中证500,449840.88
2024-12-02,跨市,512510,94,ETF500,77092.98
2024-12-02,跨市,512520,95,MSCIETF,7205.64
2024-12-02,跨市,512530,96,300红利,14050.2
2024-12-02,跨市,512550,97,A50基金,27690.6
2024-12-02,跨市,512560,98,中证军工,113912.7
2024-12-02,跨市,512570,99,中证证券,72480.61
2024-12-02,跨市,512580,100,环保ETF,128607.17
2024-12-02,跨市,512600,101,必选消费,68075.61
2024-12-02,跨市,512640,102,金融地产,3224.09
2024-12-02,跨市,512650,103,长三角,38494.16
2024-12-02,跨市,512660,104,军工ETF,956108
2024-12-02,跨市,512670,105,国防ETF,430265.26
2024-12-02,跨市,512680,106,军工基金,342573.01
2024-12-02,跨市,512690,107,酒ETF,2371585.02
2024-12-02,跨市,512700,108,银行基金,86858.1
2024-12-02,跨市,512710,109,军工龙头,909665.84
2024-12-02,跨市,512720,110,计算机,101745.34
